k,P3_n(k)
0.40988287724736455,6.0050244515220736e-05
0.4132243737631152,5.828885827533885e-05
0.4165658702788659,5.6592704431563234e-05
0.41990736679461654,5.495887257499639e-05
0.42324886331036726,5.338460386697472e-05
0.4265903598261179,5.186728203192217e-05
0.4299318563418686,5.040442495062252e-05
0.43327335285761925,4.899367680962839e-05
0.4366148493733699,4.7632800766015414e-05
0.4399563458891206,4.631967209008901e-05
0.4432978424048713,4.50522717515587e-05
0.44663933892062196,4.382868041739672e-05
0.44998083543637263,4.2647072832166716e-05
0.4533223319521233,4.1505712553819764e-05
0.456663828467874,4.040294702004128e-05
0.4600053249836247,3.933720292219256e-05
0.46334682149937534,3.830698186560798e-05
0.466688318015126,3.731085629658652e-05
0.47002981453087667,3.634746567797608e-05
0.47337131104662733,3.5415512896487236e-05
0.47671280756237805,3.451376088625204e-05
0.4800543040781287,3.364102945412887e-05
0.4833958005938794,3.2796192293482795e-05
0.48673729710963004,3.197817417399836e-05
0.49007879362538076,3.1185948296006614e-05
0.4934202901411314,3.0418533798750694e-05
0.4967617866568821,2.9674993412537192e-05
0.5001032831726328,2.8954431245679843e-05
0.5034447796883834,2.8255990697592115e-05
0.5067862762041342,2.7578852490093575e-05
0.5101277727198847,2.6922232809493008e-05
0.5134692692356355,2.6285381552556504e-05
0.5168107657513861,2.5667580669897494e-05
0.5201522622671368,2.5068142600827107e-05
0.5234937587828874,2.44864087940378e-05
0.5268352552986382,2.3921748308917198e-05
0.5301767518143887,2.337355649262202e-05
0.5335182483301395,2.2841253728353788e-05
0.5368597448458903,2.2324284250600666e-05
0.5402012413616408,2.182211502336839e-05
0.5435427378773916,2.133423467767739e-05
0.5468842343931422,2.0860152504883976e-05
0.5502257309088929,2.0399397502531524e-05
0.5535672274246435,1.995151746973628e-05
0.5569087239403943,1.9516078149221192e-05
0.5602502204561448,1.9092662413357696e-05
0.5635917169718956,1.868086949168816e-05
0.5669332134876462,1.828031423761064e-05
0.5702747100033969,1.7890626431999596e-05
0.5736162065191477,1.7511450121713047e-05
0.5769577030348982,1.7142442991056865e-05
0.580299199550649,1.678327576435248e-05
0.5836406960663996,1.6433631637945005e-05
0.5869821925821503,1.6093205740009657e-05
0.5903236890979009,1.576170461665457e-05
0.5936651856136517,1.5438845742912894e-05
0.5970066821294022,1.512435705727211e-05
0.600348178645153,1.4817976518494243e-05
0.6036896751609037,1.451945168353382e-05
0.6070311716766543,1.422853930544726e-05
0.6103726681924051,1.3945004950239355e-05
0.6137141647081557,1.3668622631660812e-05
0.6170556612239064,1.3399174463016098e-05
0.620397157739657,1.3136450325113804e-05
0.6237386542554078,1.2880247549518233e-05
0.6270801507711583,1.2630370616329121e-05
0.6304216472869091,1.2386630865742909e-05
0.6337631438026596,1.2148846222703761e-05
0.6371046403184104,1.1916840933982616e-05
0.6404461368341612,1.1690445317057734e-05
0.6437876333499117,1.1469495520221963e-05
0.6471291298656625,1.1253833293343575e-05
0.6504706263814131,1.1043305768765228e-05
0.6538121228971638,1.083776525184243e-05
0.6571536194129144,1.0637069020651502e-05
0.6604951159286652,1.0441079134414928e-05
0.6638366124444157,1.0249662250233872e-05
0.6671781089601665,1.0062689447717163e-05
0.6705196054759172,9.880036061138071e-06
0.6738611019916678,9.701581518755517e-06
0.6772025985074186,9.527209188958848e-06
0.6805440950231691,9.356806232920365e-06
0.6838855915389199,9.190263463445252e-06
0.6872270880546705,9.027475209728256e-06
0.6905685845704213,8.868339187749904e-06
0.6939100810861718,8.71275637604396e-06
0.6972515776019226,8.560630896592641e-06
0.7005930741176731,8.411869900612506e-06
0.7039345706334239,8.266383459012276e-06
0.7072760671491747,8.12408445730321e-06
0.7106175636649252,7.9848884947695e-06
0.713959060180676,7.848713787700619e-06
0.7173005566964266,7.715481076506959e-06
0.7206420532121773,7.585113536544055e-06
0.7239835497279279,7.4575366924841935e-06
0.7273250462436787,7.332678336072336e-06
0.7306665427594292,7.21046844712766e-06
0.73400803927518,7.090839117637307e-06
0.7373495357909305,6.97372447881692e-06
0.7406910323066813,6.8590606310048706e-06
0.7440325288224321,6.746785576268097e-06
0.7473740253381826,6.636839153604314e-06
0.7507155218539334,6.529162976629855e-06
0.754057018369684,6.423700373644546e-06
0.7573985148854347,6.320396329976697e-06
0.7607400114011853,6.219197432508761e-06
0.7640815079169361,6.12005181629343e-06
0.7674230044326866,6.022909113173713e-06
0.7707645009484374,5.927720402320124e-06
0.7741059974641881,5.834438162609649e-06
0.7774474939799387,5.743016226767534e-06
0.7807889904956895,5.6534097371999176e-06
0.7841304870114401,5.56557510344965e-06
0.7874719835271908,5.479469961205931e-06
0.7908134800429414,5.395053132808431e-06
0.7941549765586922,5.312284589182354e-06
0.7974964730744427,5.231125413148543e-06
0.8008379695901935,5.151537764052609e-06
0.804179466105944,5.073484843661472e-06
0.8075209626216948,4.996930863275178e-06
0.8108624591374456,4.921841012007553e-06
0.8142039556531961,4.8481814261888195e-06
0.8175454521689469,4.775919159845846e-06
0.8208869486846975,4.705022156218185e-06
0.8242284452004482,4.635459220269727e-06
0.8275699417161988,4.567199992157118e-06
0.8309114382319496,4.500214921617438e-06
0.8342529347477001,4.434475243240733e-06
0.8375944312634509,4.369952952592684e-06
0.8409359277792016,4.306620783155287e-06
0.8442774242949522,4.244452184054204e-06
0.847618920810703,4.18342129854319e-06
0.8509604173264536,4.123502943216776e-06
0.8543019138422043,4.064672587924134e-06
0.8576434103579549,4.00690633635738e-06
0.8609849068737057,3.950180907289661e-06
