k,P_dir(k)
0.43503639858156734,0.007243311822680351
0.4377985344455773,0.007552963297776432
0.44056067030958723,0.00749410261303778
0.4433228061735972,0.007135309046612238
0.4460849420376072,0.007089312854537442
0.4488470779016171,0.0070099594985433165
0.45160921376562707,0.006966620741535196
0.454371349629637,0.007341657301286496
0.45713348549364696,0.006643350812094907
0.45989562135765694,0.006682904797885466
0.46265775722166685,0.006702238247916048
0.46541989308567683,0.00628985639504098
0.46818202894968675,0.0064145351822579464
0.4709441648136967,0.00572198348620528
0.4737063006777067,0.005878576404037046
0.4764684365417166,0.005911122387282479
0.4792305724057266,0.00579773315012527
0.4819927082697365,0.005227982556860821
0.4847548441337465,0.005372149334274101
0.48751697999775645,0.005638797147182785
0.49027911586176637,0.00527402845503936
0.49304125172577634,0.005599442859095939
