k,P(k)
0.45160921376562707,6.826291233086746
0.454371349629637,6.601622739035812
0.45713348549364696,6.14442783251175
0.45989562135765694,6.339583935527478
0.46265775722166685,6.234364441432062
0.46541989308567683,6.183599278448621
0.46818202894968675,6.1579990223236365
0.4709441648136967,5.949098513538346
0.4737063006777067,6.029747986611363
0.4764684365417166,5.646258462635148
0.4792305724057266,5.21744201196654
0.4819927082697365,5.284955906402563
0.4847548441337465,5.0814738413704506
0.48751697999775645,4.950519428892756
0.49027911586176637,5.119632956105401
0.49304125172577634,5.1148605160026035
0.49580338758978626,5.071228843515741
0.49856552345379623,4.772057249657626
0.5013276593178062,4.7972157045395125
0.5040897951818162,4.788520814477352
0.5068519310458262,4.8385084694519245
0.509614066909836,4.81072141738058
0.512376202773846,4.828160104296221
0.515138338637856,3.977446420242689
